ID,Final ID,Guideline,Codes
G30,B1,"The behavior of each node should follow a well-defined lifecyle, which should be queryable and updatable at run-time","[query behaviour]
[scoring node with life cycle]
[stop if no new messages]
[nodes should document their interfaces]"
G20,B2,Nodes with high-frequency operations should be configurable so that they can operate according to available computational resources,"[throttled nodes based on cpu]
[tune rate based on cpu]"
G31,B3,"If a node is stateful and its behavior strongly depends on the time and order of arrival of messages, specify the protocol of the messages expected by the node","[well structured messages and interfaces]
[Specify the protocol of the messages you expect]"
G32,B4,"When possible, ROS nodes should be stateless and their behaviour should not depend on previous operations or received messages",[nodes can manage data in any order and out of sync - they are stateless]
G42,B5,Nodes with configuration errors should fail explicitly at bringup time,[early failure on misconfiguration]
G44,B6,"If a node is computationally expensive, then ensure that it only executes when some other nodes are subscribing to a topic it publishes to (unless topic latching is enabled).","[expensive nodes only with subscribers]
[un/subscribe only when there are (no) publishing nodes]"
G17,C1,"Use standardized ROS message formats, possibly supporting also their legacy versions ","[well structured/clear message types]
[encourage standard messages]
[support legacy std messages]
[use std messages for compatibility]
[std ros messages]
[substitute with same action]
[implement same interface]
[common ros interfaces]
[follow standards and conventions]"
G11,C10,Publish empty messages when triggering atomic actions,[empty messages for triggering actions]
G41,C11,Frequent messages should be exchanged either via services with persistent connections or via topic-based communication  ,"[frequent calls with persistent connections]
[init publishers at startup of the node]"
G45,C12,Use nodelets when the overhead due to inter-process communication is too high both in terms of frequency of messages and payload.  ,"[nodelets for large msgs]
[no nodelets, consider IPC]"
G46,C13,Manage topics to avoid unnecessary publishing and subscribing.,"[pub/sub only when there are subscribers/publishers]
"
G38,C2,"ROS nodes should be agnostic of the underlying communication mechanisms (e.g., network protocols, deployment topology, etc.) ","[versatile concept of robot communication]
[gateway discovery]
[flip network interfaces]
[abstraction on the underlying communication mechanisms]
[work transparently wrt communication layer]"
G23,C3,"Include data- and node-health information in messages containing critical data (e.g., strength of GPS signal)","[interpolated data]
[diagnostic aggregator node]
[recovery actions from diagnostics]
[gps signal health]
[status response message]
[multiple echo messages]
[ekf for compensating inaccurate sensors]
[diagnostics data for hw]"
G19,C4,"If the system is remotely distributed, constantly observe the status of the communication channels, hosts, and machines on the network ","[quality of network connection statistics]
[info about hosts and nodes in the network]
problems with low bandwidth networks]
[ping network for checking drops]"
G12,C5,Nodes that potentially produce/consume large amounts of messages should be configurable in terms of their publish/subscribe rates  ,"[throttle stereo data]
[driver working at different rates]
[selective publishing of states, with different rates]
[avoid large proc spikes]"
G13,C6,Selectively limit the data exchanged between nodes to provide only the information that is strictly necessary for completing tasks ,"[selective telemetry data]
[exclude data from sensor]
[incremental updates of map]"
G28,C7,"If different types of data are always sent/received together and must be synchronized, then either package them into a single message or subscribe to them using a time synchronizer filter ","[aggregated message]
[synchronized messages]
[sync sub for data sent together]"
G5,C8,"Take into account that the data exchanged between nodes of the system may not be fully compatible (semantically), incorrect, out-of-order, or redundant","[data slightly outside the expected values]
[incoming signal quality]
[nodes resilient to errors and other triggers]
[delete old/invalid points]
[free to choose sampling time]
[called when necessary]
[configure/manage types of connections]
[data not required to be synchronized]
[data out of order]
[tracking and filtering]
[react when values arrive outside the expected threshold]"
