ID,Final ID,Guideline,Ivano,Patricia,Bradley,Grace,Resolved,Usefulness (only positive),Usefulness (only negative),Usefulness (TOTAL),Provenance,Occurrences in repos,Notes on agreements,Quality requirements (comma-separated),Notes
G30,B1,"The behavior of each node should follow a well-defined lifecyle, which should be queryable and updatable at run-time",B,B,B,B,B,100,30,70,G,4,,"Reliability,Maintainability,Portability",
G20,B2,Nodes with high-frequency operations should be configurable so that they can operate according to available computational resources,N,B,B,B,B,113,34,79,G,3,,"Performance,Reliability,Safety",
G31,B3,"If a node is stateful and its behavior strongly depends on the time and order of arrival of messages, specify the protocol of the messages expected by the node",B,B,B,B,B,107,23,84,G,2,,"Reliability,Usability",
G32,B4,"When possible, ROS nodes should be stateless and their behaviour should not depend on previous operations or received messages",B,B,B,B,B,90,63,27,G,1,,"Reliability,Maintainability,Usability",
G42,B5,Nodes with configuration errors should fail explicitly at bringup time,B,B,B,B,B,-,-,-,Q,-,,Reliability,
G44,B6,"If a node is computationally expensive, then ensure that it only executes when some other nodes are subscribing to a topic it publishes to (unless topic latching is enabled).",B,B,B,B,B,-,-,-,Q,-,,Performance,
G17,C1,"Use standardized ROS message formats, possibly supporting also their legacy versions ",C,C,C,C,C,183,10,173,"G, Q",9,,"Maintainability,Compatibility,Portability",
G11,C10,Publish empty messages when triggering atomic actions,C,C,C,C,C,43,77,-34,G,1,,Performance,std_msgs/Empty Message
G41,C11,Frequent messages should be exchanged either via services with persistent connections or via topic-based communication  ,C,C,C,C,C,-,-,-,Q,-,,Performance,
G45,C12,Use nodelets when the overhead due to inter-process communication is too high both in terms of frequency of messages and payload.  ,C,C,C,C,C,-,-,-,Q,-,,Performance,
G46,C13,Manage topics to avoid unnecessary publishing and subscribing.,C,C,C,C,C,-,-,-,Q,-,,"Performance,Usability",
G38,C2,"ROS nodes should be agnostic of the underlying communication mechanisms (e.g., network protocols, deployment topology, etc.) ",C,H,C,C,C,151,13,138,G,4,"Similar to the previous ""to check""","Maintainability,Portability",
G23,C3,"Include data- and node-health information in messages containing critical data (e.g., strength of GPS signal)",S,C,C,C,C,121,27,94,G,8,,Reliability,
G19,C4,"If the system is remotely distributed, constantly observe the status of the communication channels, hosts, and machines on the network ",C,H,C,C,C,129,15,114,G,4,"Is the network part of the context, similar to the hardware (G9)?",Reliability,
G12,C5,Nodes that potentially produce/consume large amounts of messages should be configurable in terms of their publish/subscribe rates  ,C,C,C,C,C,129,22,107,G,3,,"Performance,Maintainability,Reliability",
G13,C6,Selectively limit the data exchanged between nodes to provide only the information that is strictly necessary for completing tasks ,C,C,C,C,C,112,27,85,G,3,,"Performance,Security",
G28,C7,"If different types of data are always sent/received together and must be synchronized, then either package them into a single message or subscribe to them using a time synchronizer filter ",C,C,C,C,C,123,37,86,G,2,,Reliability,
G5,C8,"Take into account that the data exchanged between nodes of the system may not be fully compatible (semantically), incorrect, out-of-order, or redundant",C,C,C,C,C,81,47,34,G,10,,"Compatibility,Reliability",Related to the usage of adapters and pre-/post-processing pipelines
G24,C9,"Use services when starting up robots, instead of publishing to topics",N,N,C,C,C,92,44,48,G,1,,Reliability,
G16,H1,Nodes interacting with simulation or physical platforms should implement identical ROS messaging interfaces,H,C,H,H,H,201,4,197,G,3,,Portability,
G2,H2,"When possible, design the system to be hardware-independent",H,H,H,H,H,174,9,165,G,15,,"Maintainability,Portability,Compatibility",Use URDF files and other HW description files and make them accessible using the parameter server or in the launch file
G3,H3,Decouple ROS nodes from variations in the execution environment,N,H,H,H,H,132,13,119,"G, Q",9,,"Maintainability,Portability,Compatibility",This can be done by using configuration files and other needed artifacts and storing them either in a parameter server or having them as parameters of launch files. 
G21,H4,State estimation nodes should support an arbitrary number and different types of sensors,H,H,C,H,H,108,35,73,G,3,,Compatibility,
